index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
0,0,0,550490,7499245,9130,553638
1,8054040,0,54600,7937475,63170,55619
2,7993234,0,29861,7969818,56404,30037
3,8000003,0,27472,7971643,56407,27685
4,7999466,0,28768,7970031,55873,28963
5,7999132,0,32546,7968374,55005,32704
6,8001217,0,28222,7970846,56222,28398
7,7999392,0,26111,7973652,55614,26268
8,8000068,0,28250,7971446,55682,28426
9,8000002,0,27102,7972725,55684,27269
10,8000142,0,28528,7976614,55826,28686
11,8005439,0,26101,7966799,61265,26278
12,7993216,0,28120,7973104,54481,28306
13,8001540,0,29047,7969735,56021,29222
14,7999095,0,25185,7975457,55116,25371
15,8000967,0,23574,7977271,56083,23731
16,8001141,0,24935,7973864,57224,25093
17,7999096,0,27222,7971929,56320,27389
18,7999457,0,24713,7976585,55777,24889
19,8001623,0,29000,8004901,57400,29157
20,8034197,0,25973,7938170,91597,26167
21,7964485,0,27046,7972087,56082,27232
22,7999457,0,27148,7972270,55539,27343
23,7999752,0,26722,7975494,55291,26899
24,8002541,0,24379,7982550,57832,24555
25,8007281,0,37639,7953827,65113,37870
26,7991901,0,37463,7966326,57014,37685
27,8004206,0,45111,7953328,61220,45426
28,7998976,0,47583,7953383,60196,47852
29,8001457,0,45861,7950864,61653,46176
30,7997263,0,44832,7954726,58916,45091
31,8000039,0,51129,7960902,58955,51445
32,8012569,0,43500,7941921,71524,43805
33,7985957,0,48204,7953226,57481,48509
34,8001967,0,45481,7953105,59448,45786
35,7999113,0,52148,7949596,58561,52454
36,8002263,0,47528,7951874,60824,47824
37,7999930,0,49000,7949947,60754,49324
38,7999493,0,46584,7950689,60247,46926
39,7997828,0,44037,7955448,58075,44305
40,7999985,0,51648,7948059,58060,51917
41,8000207,0,46750,7953994,58267,47065
42,8001272,0,45472,7955346,59539,45805
43,8001374,0,49852,7944254,60913,50111
44,7994559,0,27750,7973762,55472,27898
45,8001808,0,29834,7967605,57280,29981
46,7997735,0,26611,7977402,55015,26787
47,8004337,0,24223,7976929,59352,24380
48,8001475,0,45666,7949198,60827,45907
49,7995244,0,27593,7972633,56071,27769
50,8000550,0,24435,7974438,56621,24593
51,7999161,0,23926,7974975,55782,24111
52,7999225,0,27898,7972532,55007,28083
53,8000745,0,23463,7975402,55752,23657
54,7999207,0,24223,7976938,54959,24389
55,8001457,0,25296,7975049,56416,25472
56,8000660,0,25925,7973004,57076,26074
57,7999226,0,22167,7978189,56302,22343
58,8000670,0,57944,7941106,56972,58102
59,7999356,0,25574,7974216,56328,25750
60,8000104,0,22370,7976522,56432,22528
61,7999189,0,23482,7977726,55621,23658
62,8001522,0,22481,7977745,57143,22639
63,8000532,0,26332,7972115,57675,26480
64,7998734,0,25648,7973763,56409,25824
65,7999726,0,23805,7977087,56135,23981
66,8001216,0,23342,7975012,57351,23500
67,7998651,0,22602,7975568,56002,22778
68,7998476,0,23444,7978142,54478,23611
69,8001883,0,28334,7978550,56361,28519
70,8007217,0,23537,7967614,63578,23694
71,7991447,0,25491,7974457,55025,25667
72,8000263,0,24722,7975031,55288,24880
73,8000059,0,22019,7994364,55347,22176
74,8016706,0,41731,7942401,72053,41954
75,7984541,0,42482,7958809,56594,42722
76,8001744,0,48916,7954974,58338,49186
77,8004383,0,48296,7948513,62721,48555
78,7997290,0,45306,7952689,60011,45611
79,7998522,0,44556,7956494,58533,44870
80,8001586,0,43592,7954373,60119,43843
81,7998438,0,46018,7954447,58557,46342
82,8001012,0,47481,7951216,59569,47750
83,7999189,0,43713,7956327,58758,44018
84,8000568,0,44380,7954188,59326,44639
85,7999058,0,44704,7956901,58384,45000
86,8002133,0,42111,7955930,60517,42361
87,7998522,0,42990,7955781,59039,43314
88,7999318,0,43944,7957661,58357,44249
89,8002141,0,54083,7945651,60498,54343
90,8000226,0,45713,7952781,60724,46027
91,7999040,0,46574,7951485,59764,46889
92,7998596,0,45416,7954438,58360,45675
93,8000335,0,44805,7954253,58695,45121
94,7999559,0,22898,7974614,58254,23056
95,7997818,0,25916,7987697,56072,26074
96,8014956,0,290870,7695170,71028,292343
97,7988198,0,44685,7949818,59226,46232
98,7996207,0,28194,7972781,55433,28352
99,8001281,0,29167,7971197,56714,29352
100,8000688,0,25250,7972901,57402,25426
101,7998475,0,26722,7974281,55877,26880
102,8001300,0,27380,7969365,57177,27546
103,7997059,0,27065,7972660,54236,27222
104,8000030,0,25194,7976133,54266,25370
105,8001651,0,25361,7975179,55917,25537
106,8000855,0,21537,7979697,56772,21723
107,8001559,0,25194,7972447,58331,25352
108,7997947,0,25509,7974596,56278,25676
109,8000411,0,24018,7974262,56689,24176
110,7998586,0,26139,7974855,55275,26306
111,8001300,0,23982,7974596,56575,24139
112,7998874,0,28028,7973013,55449,28195
113,8001346,0,23777,7974781,56795,23926
