index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
0,0,0,519703,7549059,93,520341
1,8071085,0,180989,7811178,71178,181453
2,7992863,0,89834,7905076,64041,90102
3,7995409,0,52222,7946622,59450,52500
4,7999354,0,49435,8007928,58804,49750
5,8058391,0,288767,7655838,117195,289628
6,7945827,0,84018,7912881,63022,84573
7,7997676,0,67241,7930809,60698,67565
8,7998605,0,58389,7939863,59303,58667
9,7998771,0,47814,7953984,58074,48091
10,8002289,0,63583,7935372,60363,63907
11,7999520,0,57861,7940502,59883,58139
12,7998872,0,56537,7945243,58755,56861
13,8002335,0,53630,7948169,61090,53982
14,8002373,0,68981,7927992,63463,69250
15,7997455,0,73149,7925474,60918,73398
16,7999095,0,55954,7938003,60013,56222
17,7994410,0,30036,7972853,54423,30203
18,8003195,0,28657,7968698,57618,28815
19,7997661,0,35767,7963124,55279,35980
20,7999252,0,34723,7965992,54531,34926
21,8001057,0,35074,7964780,55588,35241
22,8000169,0,28667,7970196,55757,28824
23,7999159,0,37380,7964103,54916,37528
24,8001770,0,25176,7973622,56686,25343
25,7999122,0,33787,7966576,55808,33954
26,8000678,0,28768,7969604,56486,28981
27,7998742,0,29528,7970576,55228,29685
28,8000400,0,26417,7973659,55628,26583
29,8000381,0,44120,7954252,56009,44333
30,7998724,0,26287,7973169,54733,26454
31,7999789,0,31713,7970038,54522,31880
32,8002121,0,70158,7929901,56643,70343
33,8000392,0,40139,7960261,57035,40305
34,8000705,0,28120,7969261,57740,28296
35,7997705,0,39814,7960159,55445,39973
36,8001576,0,28611,7968501,57021,28769
37,7997427,0,45176,7955455,54448,45389
38,8000993,0,27222,7973437,55441,27379
39,8000964,0,33592,7966196,56405,33760
40,8000095,0,34963,7963789,56500,35139
41,7999076,0,33370,7965661,55576,33592
42,7999401,0,27221,7973094,54977,27388
43,8000630,0,44259,7957133,55607,44417
44,8001707,0,26083,7976919,57314,26249
45,8003455,0,159666,7855771,60769,160148
46,8016076,0,46601,7933975,76845,46823
47,7980947,0,42250,7961706,57792,42435
48,8004761,0,144213,7853150,62553,144454
49,7997770,0,81953,7925122,60323,82195
50,8007511,0,159796,7834946,67834,160056
51,7995225,0,70046,7933448,63059,70314
52,8004225,0,200166,7794872,67284,200619
53,7995714,0,56593,7947975,62998,56851
54,8005049,0,190675,7803966,68047,190943
55,7995205,0,66203,7935400,63252,66500
56,8002132,0,137777,7856336,65384,138184
57,7994743,0,53240,7950131,60127,53537
58,8004150,0,140463,7856085,64277,140731
59,7997057,0,65861,7936187,61334,66185
60,8002817,0,124843,7888706,64151,125148
61,8015094,0,197204,7793531,79245,197889
62,7991698,0,228925,7763390,70943,229591
63,7993241,0,69166,7931688,64184,69630
64,8001772,0,133971,7861892,65956,134323
65,7996437,0,60620,7942484,62393,60907
66,8003844,0,117508,7876901,66237,117916
67,7995039,0,60722,7935326,61276,60991
68,7996502,0,54019,7945372,57778,54287
69,7999807,0,78547,7920928,57585,78862
70,7999928,0,74981,7924059,57513,75278
71,7999475,0,50082,7949650,56988,50249
72,8000047,0,45583,7955929,57035,45750
73,8001818,0,124730,7873429,58853,125017
74,7998594,0,67490,7933409,57447,67815
75,8001372,0,37241,7960492,58819,37398
76,7998038,0,36296,7962603,56857,36454
77,7999206,0,124889,7877344,56063,125111
78,8002668,0,121037,7877557,58731,121389
79,7999094,0,43824,7954567,57825,43991
80,7998705,0,50973,7952391,56530,51232
81,8003771,0,148582,7848715,60301,148823
82,7997686,0,33556,7965456,57987,33713
83,7999373,0,69027,7929586,57360,69277
84,7999011,0,44176,7957789,56371,44333
85,8002270,0,73897,7925364,58641,74073
86,7999576,0,32750,7966881,58217,32916
87,7999946,0,132703,7865047,58163,133000
88,7998196,0,41296,7958742,56359,41500
89,8000381,0,74584,7924964,56740,74861
90,7999964,0,40889,7959086,56704,41056
91,8000290,0,63249,7938363,56994,63490
92,8002019,0,38565,7961021,59013,38741
93,8000123,0,91564,7907947,59136,91786
94,7999872,0,50639,7948474,59008,50805
95,7999492,0,72036,7925614,58500,72323
96,7998085,0,44723,7956140,56585,44880
97,8001159,0,78667,7924575,57744,78972
98,8003779,0,80352,7920612,61523,80556
99,8001354,0,139936,7858557,62877,140204
100,7998974,0,55648,7942512,61851,55879
101,7998586,0,58981,7944454,60437,59231
102,8003870,0,118936,7880781,64307,119176
103,8000161,0,118583,7883382,64468,118925
104,8002529,0,133907,7866363,66997,134176
105,8000762,0,70741,7930113,67759,71018
106,8001363,0,191305,7802845,69122,191637
107,7994770,0,91167,7908150,63892,91519
108,7999882,0,86102,7911132,63774,86370
109,7997724,0,63833,7941623,61498,64102
110,8005966,0,149018,7845853,67464,149286
111,7995371,0,75102,7928661,62835,75370
112,8004688,0,186906,7808679,67523,187240
113,7996150,0,66074,7934743,63673,66352
114,8001326,0,117528,7881391,64999,117870
115,7999474,0,66436,7935437,64473,66704
116,8002928,0,167028,7826307,67401,167342
117,7993881,0,67176,7929326,61282,67445
118,7996947,0,75546,7925076,58229,75778
119,8000992,0,30694,7967604,59221,30861
120,7998614,0,71721,7928021,57835,71962
121,8000131,0,37649,7965077,57966,37824
122,8003382,0,123055,7878586,61348,123435
123,8002169,0,68037,7926419,63517,68370
124,7994919,0,76675,0,58436,76887
