index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
0,0,0,542574,7522946,111,543333
1,8066992,0,59574,7931890,67103,59935
2,7992047,0,49981,7950380,59150,50240
3,8000823,0,46213,7954843,59973,46482
4,8001538,0,48630,7956269,61511,48889
5,8005380,0,49130,7943528,66891,49398
6,7993157,0,49297,7954806,60048,49584
7,8004603,0,48093,7944751,64651,48398
8,7993371,0,50287,7949574,58022,50565
9,8000352,0,46249,7953556,58374,46519
10,8000288,0,45730,7955037,58662,46008
11,8001287,0,45574,7954260,59949,45842
12,8000324,0,44500,7953538,60273,44778
13,7998520,0,51324,7947749,58793,51611
14,7999583,0,45444,7954362,58376,45703
15,8000287,0,44824,7956658,58663,45093
16,8001964,0,46417,7951416,60627,46676
17,7998314,0,45843,7953667,58941,46102
18,7999982,0,46250,7952889,58923,46546
19,7999639,0,46547,7959518,58562,46834
20,8006583,0,44917,7947991,65145,45176
21,7993398,0,46074,7953732,58543,46334
22,8000279,0,45602,7954620,58822,45898
23,8000741,0,49685,7952380,59563,49971
24,8002582,0,48176,7948565,62145,48426
25,7997204,0,45519,7955537,59349,45778
26,8001538,0,44426,7953908,60887,44713
27,7998833,0,45073,7953444,59720,45333
28,7999000,0,71222,7928121,58720,71527
29,7999861,0,49278,7952518,58581,49565
30,8002305,0,44361,7952629,60886,44629
31,7997482,0,42833,7958797,58368,43120
32,8002148,0,46009,7951306,60516,46269
33,7997797,0,44526,7955213,58313,44776
34,8000212,0,44824,7954945,58525,45083
35,8000259,0,43750,7957593,58784,44010
36,8001825,0,46046,7951601,60609,46333
37,7998147,0,41704,7959324,58756,41973
38,8001528,0,44630,7953195,60284,44889
39,7998288,0,43259,7957927,58572,43546
40,8001695,0,46574,7954490,60267,46833
41,8001536,0,47481,7950241,61803,47741
42,7998204,0,43315,7955232,60007,43583
43,7999028,0,47047,7954536,59035,47352
44,8002101,0,45250,7951880,61136,45509
45,7997612,0,44611,7957306,58748,44870
46,8002407,0,45815,7951676,61155,46084
47,7997972,0,44055,7954621,59127,44333
48,7999176,0,44259,7955620,58303,44519
49,8000362,0,43639,7959852,58665,43907
50,8003972,0,43870,7951583,62637,44158
51,7995972,0,44288,7955065,58609,44547
52,7999834,0,46575,7953278,58443,46834
53,8000334,0,45796,7956324,58777,46047
54,8002593,0,46388,7953334,61370,46657
55,8000222,0,45954,7950316,61592,46213
56,7996732,0,43324,7956501,58324,43584
57,8000297,0,44213,7968871,58621,44473
58,8013575,0,46463,7940509,72196,46750
59,7987481,0,43121,7955140,59677,43380
60,7998742,0,42139,7957425,58419,42407
61,8000046,0,43740,7957445,58465,44000
62,8001676,0,44130,7954186,60141,44389
63,7998806,0,43250,7956223,58947,43519
64,7999955,0,44369,7954574,58902,44638
65,7999425,0,42649,7957241,58327,42908
66,8000371,0,44259,7955528,58698,44547
67,8000306,0,44963,7955037,59004,45223
68,8000483,0,45064,7953417,59487,45313
69,7998953,0,46259,7955232,58440,46546
70,8002001,0,44731,7953880,60441,44990
71,7999093,0,45917,7955695,59534,46176
72,8002102,0,46999,7949242,61636,47249
73,7996722,0,42852,7958075,58358,43120
74,8001408,0,42121,7956380,59766,42380
75,7998982,0,44167,7956463,58748,44426
76,8001120,0,43352,7954436,59868,43602
77,7998251,0,44565,11565251,58119,44824
78,0,0,0,0,3668462,0
