index,phase,period_ns,wake_ns,read_ns,command_ns,tracking_error,cmd_q1,cmd_v1,cmd_a1,obs_q1,cmd_q2,cmd_v2,cmd_a2,obs_q2,cmd_q3,cmd_v3,cmd_a3,obs_q3,cmd_q4,cmd_v4,cmd_a4,obs_q4,cmd_q5,cmd_v5,cmd_a5,obs_q5,cmd_q6,cmd_v6,cmd_a6,obs_q6
0,outward,0,611,31778,490502,1.3832e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0283267,-0.770853,0,0,-0.770842,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,0,0,0.474223
1,outward,8065038,65649,25769,51583,1.3832e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0283267,-0.770853,0,0,-0.770842,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,1.93141e-08,7.21368e-06,0.474223
2,outward,8006187,71836,19851,45083,1.3832e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0283267,-0.770853,0,0,-0.770842,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,1.52658e-07,2.83926e-05,0.474223
3,outward,7992694,64530,19750,43055,1.38326e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0283267,-0.770853,0,0,-0.770842,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,5.09014e-07,6.2854e-05,0.474223
4,outward,8002501,67031,24712,44287,6.08529e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282743,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,1.19196e-06,0.000109929,0.474223
5,outward,8001427,68458,28213,48342,9.57595e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282394,-0.770853,0,0,-0.77079,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,2.29977e-06,0.000168962,0.474223
6,outward,7997593,66051,25510,51593,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,3.92553e-06,0.000239313,0.474223
7,outward,7992723,58774,24481,46944,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,6.15727e-06,0.000320352,0.474223
8,outward,8004371,63145,21695,48852,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,9.07803e-06,0.000411465,0.474223
9,outward,7995668,58813,23750,47991,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474237,1.2766e-05,0.000512052,0.474223
10,outward,7999935,58748,22343,49001,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474238,1.72945e-05,0.000621523,0.474223
11,outward,8005010,63758,23343,50259,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474238,2.27325e-05,0.000739303,0.474223
12,outward,7996353,60111,22917,48175,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474238,2.91441e-05,0.000864831,0.474223
13,outward,7998761,58872,22750,47046,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474238,3.6589e-05,0.000997558,0.474223
14,outward,7999703,58575,21685,48583,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474239,4.51227e-05,0.00113695,0.474223
15,outward,8003955,62530,24963,52093,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474239,5.47965e-05,0.00128247,0.474223
16,outward,7997519,60049,22242,50398,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474239,6.56573e-05,0.00143362,0.474223
17,outward,7998687,58736,20991,46963,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47424,7.77481e-05,0.0015899,0.474223
18,outward,8000213,58949,21629,48463,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474241,9.11081e-05,0.00175082,0.474223
19,outward,8001241,60190,10648,26852,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474241,0.000105772,0.0019159,0.474223
20,outward,7996352,56542,11009,25648,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474242,0.000121772,0.00208469,0.474223
21,outward,7999242,55784,10658,25121,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474243,0.000139136,0.00225673,0.474223
22,outward,8000094,55878,10750,29584,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474245,0.000157888,0.00243158,0.474223
23,outward,7999788,55666,9648,25361,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474246,0.000178048,0.00260882,0.474223
24,outward,8000833,56499,9760,26593,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474247,0.000199634,0.00278803,0.474223
25,outward,7999668,56167,14630,29129,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474249,0.00022266,0.00296881,0.474223
26,outward,8001927,58094,16175,30241,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474251,0.000247138,0.00315075,0.474223
27,outward,7997908,56002,9325,25519,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474253,0.000273075,0.0033335,0.474223
28,outward,8000574,56576,10473,24907,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474255,0.000300475,0.00351666,0.474223
29,outward,7999140,55716,27547,25065,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474258,0.000329341,0.00369989,0.474223
30,outward,8003334,59050,12583,24379,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474261,0.000359672,0.00388283,0.474223
31,outward,7996825,55875,10630,25537,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474264,0.000391465,0.00406515,0.474223
32,outward,8004279,60154,10722,25639,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474267,0.000424712,0.00424651,0.474223
33,outward,7995640,55794,10574,25574,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47427,0.000459406,0.00442662,0.474241
34,outward,8000075,55869,9982,24500,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474274,0.000495534,0.00460515,0.474241
35,outward,7999862,55731,12139,27501,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474278,0.000533083,0.00478181,0.474223
36,outward,8001427,57158,11917,26268,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474283,0.000572037,0.00495632,0.474223
37,outward,8000723,57881,17379,29407,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474288,0.000612378,0.0051284,0.474241
38,outward,7998761,56642,17593,29648,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474293,0.000654084,0.00529779,0.474223
39,outward,7999500,56142,18009,27120,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474298,0.000697134,0.00546423,0.474241
40,outward,8001742,57884,15509,27944,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474304,0.000741504,0.00562748,0.474241
41,outward,7997946,55830,11426,25805,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47431,0.000787165,0.0057873,0.474241
42,outward,8000260,56090,17046,27408,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474316,0.000834091,0.00594347,0.474241
43,outward,7999835,55925,13723,27102,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474323,0.00088225,0.00609576,0.474241
44,outward,8000825,56750,14732,33028,8.23831e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47433,0.000931612,0.00624398,0.474241
45,outward,7999223,55973,9825,47703,8.96378e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474338,0.000982142,0.00638792,0.474241
46,outward,8002603,58576,13704,26704,9.72921e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474346,0.00103381,0.00652739,0.474241
47,outward,8001825,60401,14546,29991,0.000105355,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474355,0.00108657,0.00666222,0.474241
48,outward,8003955,64356,16620,32463,0.000113836,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474364,0.00114039,0.00679223,0.474241
49,outward,7995778,60134,17973,46483,0.000122743,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474373,0.00119523,0.00691727,0.474241
50,outward,7999650,59784,19481,38926,0.000132085,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474383,0.00125105,0.00703717,0.474241
51,outward,7998918,58702,15658,41555,0.000141869,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474393,0.00130781,0.00715179,0.474241
52,outward,8017547,76249,21685,49009,0.000117198,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474404,0.00136547,0.007261,0.474276
53,outward,7982603,58852,22370,47575,7.83062e-05,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474415,0.00142397,0.00736467,0.47445
54,outward,8002640,61492,22185,48398,0.000140205,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474426,0.00148329,0.00746268,0.474555
55,outward,7999973,61465,21565,48213,0.000180937,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474439,0.00154336,0.00755491,0.474607
56,outward,7997325,58790,22333,49000,0.000203737,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474451,0.00160415,0.00764126,0.474642
57,outward,8000538,59328,23009,52111,0.000243508,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474464,0.0016656,0.00772165,0.474695
58,outward,7999863,59191,21880,49148,0.000265336,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474478,0.00172768,0.00779596,0.47473
59,outward,7999630,58821,22093,46676,0.000286669,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474492,0.00179032,0.00786414,0.474764
60,outward,7999992,58813,22046,45297,0.000290051,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474506,0.00185349,0.0079261,0.474782
61,outward,8000057,58870,23824,47083,0.000292929,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474522,0.00191712,0.00798178,0.474799
62,outward,8000444,59314,21398,45816,0.000295301,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474537,0.00198118,0.00803112,0.474817
63,outward,7999622,58936,22352,44232,0.000297161,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474553,0.00204561,0.00807407,0.474834
64,outward,8003316,62252,21194,49944,0.000281054,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.47457,0.00211035,0.00811059,0.474834
65,outward,7996937,59189,22685,47926,0.000281884,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474587,0.00217536,0.00814063,0.474852
66,outward,8001074,60263,22509,44750,0.000282194,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474605,0.00224058,0.00816417,0.474869
67,outward,7998955,59218,21722,44297,0.000264531,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474623,0.00230597,0.00818119,0.474869
68,outward,8002306,61524,22149,44639,0.000263798,1.56976,0,0,1.56975,-0.0283352,0,0,-0.0282569,-0.770853,0,0,-0.770807,0.505283,0,0,0.505273,0.134604,0,0,0.1346,0.474642,0.00237146,0.00819166,0.474887
